 
.1.wav.json vs .CelloA3.wav.json: loudness.integrated_lufs: -18.7 (File1), -19.3 (File2), Absolute Difference: .6
.1.wav.json vs .CelloA3.wav.json: loudness.threshold: -42.8 (File1), -40.7 (File2), Absolute Difference: 2.1
.1.wav.json vs .CelloA3.wav.json: loudness.lra: 5.2 (File1), 7.7 (File2), Absolute Difference: 2.5
.1.wav.json vs .CelloA3.wav.json: spectral.centroid.ch1: 1239.22 (File1), 3462.54 (File2), Absolute Difference: 2223.32
.1.wav.json vs .CelloA3.wav.json: spectral.centroid.ch2: 1739.45 (File1), 3461.34 (File2), Absolute Difference: 1721.89
.1.wav.json vs .CelloA3.wav.json: spectral.variance.ch1: 2.92949E-9 (File1), 1.47954E-8 (File2), Absolute Difference: 15.5501
.1.wav.json vs .CelloA3.wav.json: spectral.variance.ch2: 7.60612E-9 (File1), 1.47954E-8 (File2), Absolute Difference: 10.8734
.1.wav.json vs .CelloA3.wav.json: spectral.spread.ch1: 1206 (File1), 4182.94 (File2), Absolute Difference: 2976.94
.1.wav.json vs .CelloA3.wav.json: spectral.spread.ch2: 1707.59 (File1), 4182.28 (File2), Absolute Difference: 2474.69
.1.wav.json vs .CelloA3.wav.json: spectral.skewness.ch1: 1.12663 (File1), 1.82897 (File2), Absolute Difference: 0.70234
.1.wav.json vs .CelloA3.wav.json: spectral.skewness.ch2: 1.24188 (File1), 1.82938 (File2), Absolute Difference: 0.5875
.1.wav.json vs .CelloA3.wav.json: spectral.kurtosis.ch1: 2.25577 (File1), 6.80459 (File2), Absolute Difference: 4.54882
.1.wav.json vs .CelloA3.wav.json: spectral.kurtosis.ch2: 3.41568 (File1), 6.80397 (File2), Absolute Difference: 3.38829
.1.wav.json vs .CelloA3.wav.json: spectral.entropy.ch1: 0.193421 (File1), 0.12322 (File2), Absolute Difference: .070201
.1.wav.json vs .CelloA3.wav.json: spectral.entropy.ch2: 0.205477 (File1), 0.123218 (File2), Absolute Difference: .082259
.1.wav.json vs .CelloA3.wav.json: spectral.flatness.ch1: 0.133161 (File1), 0.378208 (File2), Absolute Difference: 0.245047
.1.wav.json vs .CelloA3.wav.json: spectral.flatness.ch2: 0.212222 (File1), 0.378202 (File2), Absolute Difference: 0.16598
.1.wav.json vs .CelloA3.wav.json: spectral.crest.ch1: 8.03202 (File1), 1352.34 (File2), Absolute Difference: 1344.31
.1.wav.json vs .CelloA3.wav.json: spectral.crest.ch2: 6.10815 (File1), 1352.32 (File2), Absolute Difference: 1346.21
.1.wav.json vs .CelloA3.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.00927499 (File2), Absolute Difference: 0.00342108
.1.wav.json vs .CelloA3.wav.json: spectral.flux.ch2: 0.010021 (File1), 0.00927499 (File2), Absolute Difference: .00074601
.1.wav.json vs .CelloA3.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.0000110737 (File2), Absolute Difference: 4.1769e-06
.1.wav.json vs .CelloA3.wav.json: spectral.slope.ch2: -0.0000204871 (File1), -0.0000110737 (File2), Absolute Difference: 9.4134e-06
.1.wav.json vs .CelloA3.wav.json: spectral.decrease.ch1: 0.000887567 (File1), 0.000251051 (File2), Absolute Difference: .000636516
